,DateString,Open,High,Low,Close,Volume,Turnover,Unadjusted Close,Dividend,Symbol,SwHL,Peak,Consol_Detected,Consol_LHS_Price,Consol_Len_Bars,Consol_Depth_Percent,Close_21_bar_ema,Close_50_bar_sma,Close_150_bar_sma,Close_200_bar_sma,RSL,RSL_NH,DayOfWeek,RS,RS_New_High,52_week_low,52_week_high,Stage 2
234,2024-02-28,91.74321,94.00442,90.91821,92.888756,5932808.5,551803900.0,93.25,0.0,DELL,0,0,False,0.0,0,0.0,85.90549183742439,80.91092330932617,70.37198661804199,65.08268802642823,0.018322121,True,2,95,False,,,False
235,2024-02-29,90.64747,94.427765,90.64747,94.2933,14372682.0,1346064600.0,94.66,0.0,DELL,0,0,False,0.0,0,0.0,86.66801956256444,81.37628433227539,70.64612828572591,65.3349835395813,0.018502414,True,3,95,False,,,False
236,2024-03-01,124.187035,130.55228,115.99888,124.10734,62410784.0,7559620600.0,124.59,0.0,DELL,1,1,False,0.0,0,0.0,90.07159396157314,82.40321685791015,71.12041079203287,65.73551683425903,0.02415912,True,4,96,False,,,False
237,2024-03-04,123.46982,128.55006,120.33203,121.30823,23928656.0,2967131100.0,121.78,0.0,DELL,0,0,True,130.55227661132812,0,20.14344180384143,92.91128792316307,83.37099380493164,71.58326416015625,66.11985111236572,0.023642449,False,0,96,False,,,False
238,2024-03-05,120.28222,121.04923,113.4488,117.293846,15077576.0,1749276300.0,117.75,0.0,DELL,-1,0,True,130.55227661132812,1,20.14344180384143,95.12788412381835,84.28049880981445,72.01731699625651,66.48181209564208,0.023095477,False,1,97,True,,,False
239,2024-03-06,118.98228,120.09296,116.506905,118.04094,10610225.0,1258287700.0,118.5,0.0,DELL,0,0,True,130.55227661132812,2,20.14344180384143,97.210889142658,85.14742721557617,72.45339207967122,66.8412899017334,0.023123702,False,2,97,True,,,False
240,2024-03-07,119.535126,121.547295,118.84779,120.03319,9681773.0,1165356200.0,120.5,0.0,DELL,1,0,True,130.55227661132812,3,20.14344180384143,99.2856435720719,86.04646545410156,72.90550997416179,67.20764408111572,0.023274153,False,3,97,True,,,False
241,2024-03-08,119.824005,120.30214,114.49971,115.79965,11058065.0,1292294300.0,116.25,0.0,DELL,0,0,True,130.55227661132812,4,20.14344180384143,100.7869170745753,86.83524719238281,73.32572275797526,67.55385887145997,0.022600831,False,4,97,True,,,False
242,2024-03-11,115.03264,116.378204,113.189804,115.41116,5959846.0,687409500.0,115.86,0.0,DELL,0,0,True,130.55227661132812,5,20.14344180384143,102.11639400689374,87.61110229492188,73.74512062072753,67.90395814895629,0.022550317,False,0,97,True,,,False
243,2024-03-12,116.84559,117.83175,112.96069,113.110115,6595547.0,756517950.0,113.55,0.0,DELL,0,0,True,130.55227661132812,6,20.14344180384143,103.11582319274608,88.35244018554687,74.14043449401855,68.24470668792725,0.021855887,False,1,98,True,,,False
244,2024-03-13,113.06031,113.88709,108.90646,109.57387,7189812.0,791943600.0,110.0,0.0,DELL,0,0,True,130.55227661132812,7,20.14344180384143,103.70291815684656,89.02662322998047,74.49238507588704,68.55714839935303,0.021213416,False,2,98,True,,,False
245,2024-03-14,110.27115,110.97841,104.59324,106.03761,8101191.5,860570750.0,106.45,0.0,DELL,0,0,True,130.55227661132812,8,20.14344180384143,103.91516313486406,89.66399719238281,74.82740056355794,68.84980331420898,0.020587908,False,3,98,True,,,False
246,2024-03-15,106.62932,108.55782,105.23076,106.58549,9195301.0,986080640.0,107.0,0.0,DELL,0,0,True,130.55227661132812,9,20.14344180384143,104.15791988312392,90.27642929077149,75.16981582641601,69.15102453231812,0.020829318,False,4,98,True,,,False
247,2024-03-18,106.57552,107.45212,104.254555,106.21692,7432567.5,787487600.0,106.63,0.0,DELL,-1,-1,True,130.55227661132812,10,20.14344180384143,104.34510161605016,90.89398529052734,75.50425165812175,69.46269330978393,0.020626968,False,0,98,True,,,False
248,2024-03-19,106.60541,108.4582,104.63806,107.10347,8002734.0,858103550.0,107.52,0.0,DELL,0,0,True,130.55227661132812,11,20.14344180384143,104.59586236446675,91.53185073852539,75.8451237742106,69.77561208724975,0.020682296,False,1,98,True,,,False
249,2024-03-20,107.49197,110.89871,105.649124,110.63972,9637554.0,1047209150.0,111.07,0.0,DELL,0,0,True,130.55227661132812,12,20.14344180384143,105.14530370424713,92.17062576293945,76.21634229024251,70.09734928131104,0.021176605,False,2,98,True,,,False
250,2024-03-21,112.74155,115.32151,111.81515,113.59821,11723424.0,1331479800.0,114.04,0.0,DELL,1,0,True,130.55227661132812,13,20.14344180384143,105.91375002166109,92.91319702148438,76.61063692728679,70.4426438331604,0.021672722,False,3,98,True,,,False
251,2024-03-22,112.46761,113.359146,111.35693,111.80518,4729745.0,530913660.0,112.24,0.0,DELL,0,0,True,130.55227661132812,14,20.14344180384143,106.44933487520504,93.59729705810547,76.99534474690755,70.7722649383545,0.021360591,False,4,98,True,36.29265594482422,124.10733795166016,True
252,2024-03-25,110.83894,114.36523,109.88465,112.56224,6176206.5,698390850.0,113.0,0.0,DELL,-1,0,True,130.55227661132812,15,20.14344180384143,107.00505357751238,94.26758071899414,77.38463943481446,71.1017050743103,0.021571128,False,0,98,True,36.29265594482422,124.10733795166016,True
253,2024-03-26,112.91089,116.39733,112.81128,114.20586,7417967.0,853992500.0,114.65,0.0,DELL,1,1,True,130.55227661132812,16,20.14344180384143,107.65967200894237,94.9786701965332,77.77752845764161,71.43823709487916,0.021947553,False,1,98,True,36.884910583496094,124.10733795166016,True
254,2024-03-27,113.56834,114.78361,110.50027,111.24736,4393000.0,490211940.0,111.68,0.0,DELL,-1,0,True,130.55227661132812,17,20.14344180384143,107.98582548353781,95.62642471313477,78.15233772277833,71.76134765625,0.02119607,False,2,98,True,37.19560241699219,124.10733795166016,True
255,2024-03-28,111.81515,114.00662,111.45654,113.667946,4169505.5,472935230.0,114.11,0.0,DELL,0,0,True,130.55227661132812,18,20.14344180384143,108.50238188156314,96.35948181152344,78.53651280721029,72.09430873870849,0.021633113,False,3,98,True,37.98203659057617,124.10733795166016,True
